Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"11,900,000.00","1,332.58","8,930",Feb-23,Land,123.8,"96,123",99 yrs lease commencing from 1994,02,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"4,800,000.00",916.02,"5,240",Feb-23,Land,85.1,"56,404",99 yrs lease commencing from 1995,07,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"5,090,000.00","1,247.55","4,080",Feb-23,Land,115.9,"43,917",99 yrs lease commencing from 1952,07,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"7,500,000.00","1,463.90","5,123",Feb-23,Land,136,"55,147",Freehold,14,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"3,950,000.00",637.23,"6,199",Feb-23,Land,59.2,"66,723",999 yrs lease commencing from 1877,08,-
N.A.,KITCHENER ROAD,Shop House,"18,200,000.00","2,744.82","6,631",Feb-23,Land,255,"71,373",Freehold,08,-
N.A.,SERANGOON ROAD,Shop House,"62,500,000.00","9,041.76","6,912",Jan-23,Land,840,"74,405",Freehold,08,-
N.A.,GUILLEMARD ROAD,Shop House,"3,400,000.00","1,742.69","1,951",Jan-23,Land,161.9,"21,001",Freehold,14,-
N.A.,LAVENDER STREET,Shop House,"6,000,000.00","3,065.59","1,957",Jan-23,Land,284.8,"21,067",Freehold,12,-
KAMPONG GLAM CONSERVATION AREA,BAGHDAD STREET,Shop House,"9,600,000.00","1,604.91","5,982",Dec-22,Land,149.1,"64,386",99 yrs lease commencing from 1995,07,-
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,"5,880,000.00","1,635.05","3,596",Dec-22,Land,151.9,"38,710",Freehold,08,-
N.A.,SYED ALWI ROAD,Shop House,"7,600,000.00",824.52,"9,217",Dec-22,Land,76.6,"99,217",Freehold,08,-
SEMBAWANG PARK,SEMBAWANG ROAD,Shop House,"3,300,000.00","1,721.16","1,917",Dec-22,Land,159.9,"20,638",Freehold,27,-
N.A.,GEYLANG ROAD,Shop House,"42,550,000.00","9,792.01","4,345",Dec-22,Land,909.7,"46,774",Freehold,14,-
N.A.,CHANDER ROAD,Shop House,"6,500,000.00","1,159.28","5,607",Dec-22,Land,107.7,"60,353",Freehold,08,-
N.A.,OPAL CRESCENT,Shop House,"9,000,000.00","5,375.54","1,674",Dec-22,Land,499.4,"18,022",Freehold,12,-
N.A.,KEONG SAIK ROAD,Shop House,"17,000,000.00","1,090.39","15,591",Dec-22,Land,101.3,"167,818",Freehold,02,-
N.A.,JOO CHIAT ROAD,Shop House,"5,000,000.00",902.02,"5,543",Nov-22,Land,83.8,"59,666",Freehold,15,-
N.A.,OWEN ROAD,Shop House,"570,000.00","3,406.81",167,Nov-22,Land,316.5,"1,801",99 yrs lease commencing from 1959,08,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"3,300,000.00",701.81,"4,702",Nov-22,Land,65.2,"50,613",99 yrs lease commencing from 2003,07,-
KAMPONG GLAM CONSERVATION AREA,BALI LANE,Shop House,"5,800,000.00",663.06,"8,747",Nov-22,Land,61.6,"94,156",999 yrs lease commencing from 1833,07,-
N.A.,JOO CHIAT ROAD,Shop House,"6,500,000.00",949.38,"6,847",Nov-22,Land,88.2,"73,696",Freehold,15,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"13,000,000.00","1,976.27","6,578",Nov-22,Land,183.6,"70,806",99 yrs lease commencing from 2000,02,-
N.A.,SOO CHOW WALK,Shop House,"8,000,000.00","3,326.08","2,405",Nov-22,Strata,309,"25,890",Freehold,20,-
N.A.,BEDOK ROAD,Shop House,"4,358,000.00","1,799.74","2,421",Nov-22,Land,167.2,"26,065",Freehold,16,-
